group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
fib 20,,,,,1062208.0,ns,50
fib 20,,,,,2065000.0,ns,100
fib 20,,,,,3040791.0,ns,150
fib 20,,,,,3974791.0,ns,200
fib 20,,,,,5293166.0,ns,250
fib 20,,,,,5953083.0,ns,300
fib 20,,,,,6927791.0,ns,350
fib 20,,,,,7917333.0,ns,400
fib 20,,,,,8906583.0,ns,450
fib 20,,,,,9896500.0,ns,500
fib 20,,,,,10890458.0,ns,550
fib 20,,,,,11875333.0,ns,600
fib 20,,,,,12864875.0,ns,650
fib 20,,,,,13856458.0,ns,700
fib 20,,,,,14853458.0,ns,750
fib 20,,,,,15850583.0,ns,800
fib 20,,,,,16874208.0,ns,850
fib 20,,,,,17815250.0,ns,900
fib 20,,,,,18805208.0,ns,950
fib 20,,,,,19796333.0,ns,1000
fib 20,,,,,20783291.0,ns,1050
fib 20,,,,,21774958.0,ns,1100
fib 20,,,,,22767041.0,ns,1150
fib 20,,,,,24244791.0,ns,1200
fib 20,,,,,25809375.0,ns,1250
fib 20,,,,,133080666.0,ns,1300
fib 20,,,,,50560208.0,ns,1350
fib 20,,,,,32312583.0,ns,1400
fib 20,,,,,29262375.0,ns,1450
fib 20,,,,,32094458.0,ns,1500
fib 20,,,,,32495791.0,ns,1550
fib 20,,,,,32578166.0,ns,1600
fib 20,,,,,32838083.0,ns,1650
fib 20,,,,,33954916.0,ns,1700
fib 20,,,,,34671458.0,ns,1750
fib 20,,,,,38892666.0,ns,1800
fib 20,,,,,38151791.0,ns,1850
fib 20,,,,,37623291.0,ns,1900
fib 20,,,,,38592083.0,ns,1950
fib 20,,,,,39608500.0,ns,2000
fib 20,,,,,40578000.0,ns,2050
fib 20,,,,,41587166.0,ns,2100
fib 20,,,,,42567791.0,ns,2150
fib 20,,,,,43558583.0,ns,2200
fib 20,,,,,44557125.0,ns,2250
fib 20,,,,,45520791.0,ns,2300
fib 20,,,,,46520541.0,ns,2350
fib 20,,,,,47502000.0,ns,2400
fib 20,,,,,48614416.0,ns,2450
fib 20,,,,,49564791.0,ns,2500
fib 20,,,,,50471875.0,ns,2550
fib 20,,,,,51455208.0,ns,2600
fib 20,,,,,52449916.0,ns,2650
fib 20,,,,,53455333.0,ns,2700
fib 20,,,,,54442791.0,ns,2750
fib 20,,,,,55412750.0,ns,2800
fib 20,,,,,56416166.0,ns,2850
fib 20,,,,,57388833.0,ns,2900
fib 20,,,,,58379291.0,ns,2950
fib 20,,,,,59572750.0,ns,3000
fib 20,,,,,60673958.0,ns,3050
fib 20,,,,,61686750.0,ns,3100
fib 20,,,,,62597833.0,ns,3150
fib 20,,,,,63475125.0,ns,3200
fib 20,,,,,64656541.0,ns,3250
fib 20,,,,,65562000.0,ns,3300
fib 20,,,,,66524000.0,ns,3350
fib 20,,,,,67608916.0,ns,3400
fib 20,,,,,68334791.0,ns,3450
fib 20,,,,,69444875.0,ns,3500
fib 20,,,,,70618416.0,ns,3550
fib 20,,,,,71714041.0,ns,3600
fib 20,,,,,72403416.0,ns,3650
fib 20,,,,,73492375.0,ns,3700
fib 20,,,,,74778250.0,ns,3750
fib 20,,,,,75617375.0,ns,3800
fib 20,,,,,76505541.0,ns,3850
fib 20,,,,,77391125.0,ns,3900
fib 20,,,,,78765666.0,ns,3950
fib 20,,,,,79889791.0,ns,4000
fib 20,,,,,80470416.0,ns,4050
fib 20,,,,,81288083.0,ns,4100
fib 20,,,,,82620833.0,ns,4150
fib 20,,,,,83168625.0,ns,4200
fib 20,,,,,91964041.0,ns,4250
fib 20,,,,,85575375.0,ns,4300
fib 20,,,,,89091916.0,ns,4350
fib 20,,,,,89773541.0,ns,4400
fib 20,,,,,89960708.0,ns,4450
fib 20,,,,,89395958.0,ns,4500
fib 20,,,,,90386083.0,ns,4550
fib 20,,,,,91167875.0,ns,4600
fib 20,,,,,92453125.0,ns,4650
fib 20,,,,,93499416.0,ns,4700
fib 20,,,,,94456791.0,ns,4750
fib 20,,,,,95648333.0,ns,4800
fib 20,,,,,101764791.0,ns,4850
fib 20,,,,,98841083.0,ns,4900
fib 20,,,,,98556375.0,ns,4950
fib 20,,,,,99535500.0,ns,5000
